Link,Date,Name,Opponent,F1_Win,F1_Draw,Result_clean,EndRound
http://www.ufcstats.com/fighter-details/257b0c8d6f199895,2020-08-29,Impa Kasanganay,Maki Pitolo,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/25af5e832f17b474,2019-03-23,Jesus Pinedo,John Makdessi,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/25af5e832f17b474,2018-11-17,Jesus Pinedo,Devin Powell,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/260bd4cef10b033f,2022-07-30,Ihor Potieria,Nicolae Negumereanu,FALSE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/260e9e0d4954aea6,2022-06-25,Rodolfo Vieira,Chris Curtis,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/260e9e0d4954aea6,2021-07-17,Rodolfo Vieira,Dustin Stoltzfus,TRUE,FALSE,Submission,3
http://www.ufcstats.com/fighter-details/260e9e0d4954aea6,2021-02-13,Rodolfo Vieira,Anthony Hernandez,FALSE,FALSE,Submission,2
http://www.ufcstats.com/fighter-details/260e9e0d4954aea6,2020-03-07,Rodolfo Vieira,Saparbek Safarov,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/260e9e0d4954aea6,2019-08-10,Rodolfo Vieira,Oskar Piechota,TRUE,FALSE,Submission,2
http://www.ufcstats.com/fighter-details/2620f3eb21c79614,2000-03-10,Scott Adams,Ian Freeman,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/262a7d06203657e6,2022-02-12,Alexander Hernandez,Renato Moicano,FALSE,FALSE,Submission,2
http://www.ufcstats.com/fighter-details/262a7d06203657e6,2021-10-02,Alexander Hernandez,Mike Breeden,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/262a7d06203657e6,2021-02-27,Alexander Hernandez,Thiago Moises,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/262a7d06203657e6,2020-10-31,Alexander Hernandez,Chris Gruetzemacher,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/262a7d06203657e6,2020-05-13,Alexander Hernandez,Drew Dober,FALSE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/262d32ebda89efc4,2022-06-18,Natalia Silva,Jasmine Jasudavicius,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/263ebd4a669e1e98,2001-09-28,Fabiano Iha,Din Thomas,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/263ebd4a669e1e98,2001-06-29,Fabiano Iha,Caol Uno,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/263ebd4a669e1e98,2001-02-23,Fabiano Iha,Phil Johns,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/263ebd4a669e1e98,2000-12-16,Fabiano Iha,Daiju Takase,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/263ebd4a669e1e98,2000-09-22,Fabiano Iha,Laverne Clark,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/2650e2f846a30f64,2014-09-20,Amir Sadollah,Yoshihiro Akiyama,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/2650e2f846a30f64,2012-09-29,Amir Sadollah,Dan Hardy,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/2650e2f846a30f64,2012-05-15,Amir Sadollah,Jorge Lopez,TRUE,FALSE,Split Decision,3
http://www.ufcstats.com/fighter-details/2650e2f846a30f64,2011-08-14,Amir Sadollah,Duane Ludwig,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/2650e2f846a30f64,2011-03-26,Amir Sadollah,DaMarques Johnson,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/265589bdd93e7ce5,2005-04-09,Lodune Sincaid,Nate Quarry,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/2676b28836a5a836,2015-11-28,Benson Henderson,Jorge Masvidal,TRUE,FALSE,Split Decision,5
http://www.ufcstats.com/fighter-details/2676b28836a5a836,2015-02-14,Benson Henderson,Brandon Thatch,TRUE,FALSE,Submission,4
http://www.ufcstats.com/fighter-details/2676b28836a5a836,2015-01-18,Benson Henderson,Donald Cerrone,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/2676b28836a5a836,2014-08-23,Benson Henderson,Rafael Dos Anjos,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/2676b28836a5a836,2014-06-07,Benson Henderson,Rustam Khabilov,TRUE,FALSE,Submission,4
http://www.ufcstats.com/fighter-details/26b63bc5c0c1f65d,2018-09-22,Alex Chambers,Livinha Souza,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/26b63bc5c0c1f65d,2017-11-18,Alex Chambers,Nadia Kassem,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/26b63bc5c0c1f65d,2015-09-05,Alex Chambers,Paige VanZant,FALSE,FALSE,Submission,3
http://www.ufcstats.com/fighter-details/26b63bc5c0c1f65d,2015-05-09,Alex Chambers,Kailin Curran,TRUE,FALSE,Submission,3
